,0,1,2,3,4,5,6,7,8,9
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0009932518005371094,0.0,0.0,0.0,0.0,0.0,0.0009999275207519531,0.0,0.0
30,0.0010001659393310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000997781753540039,0.0
40,0.0010025501251220703,0.0,0.0,0.0,0.0,0.0,0.0009992122650146484,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.000997304916381836,0.0,0.0,0.0009984970092773438,0.0
55,0.0,0.0010001659393310547,0.0,0.001013040542602539,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0010137557983398438,0.001001596450805664,0.0,0.0009987354278564453
65,0.001005411148071289,0.000993490219116211,0.0010018348693847656,0.0009987354278564453,0.0009889602661132812,0.0,0.0,0.001998424530029297,0.0009996891021728516,0.0
70,0.0,0.0010077953338623047,0.0,0.0,0.0010027885437011719,0.0010056495666503906,0.0009996891021728516,0.0,0.0,0.0
75,0.0010006427764892578,0.0,0.0009987354278564453,0.0,0.0009951591491699219,0.0,0.0,0.0,0.0009975433349609375,0.0010247230529785156
80,0.0009992122650146484,0.0,0.0010037422180175781,0.0,0.0009942054748535156,0.0010020732879638672,0.0,0.0,0.0,0.00099945068359375
85,0.0,0.0,0.0010001659393310547,0.0,0.0,0.0010046958923339844,0.0,0.0009894371032714844,0.000982046127319336,0.0
90,0.0,0.001003265380859375,0.0010006427764892578,0.0010008811950683594,0.0,0.00099945068359375,0.0010151863098144531,0.0010013580322265625,0.0,0.0009984970092773438
95,0.0010006427764892578,0.0,0.0009975433349609375,0.0010001659393310547,0.0010061264038085938,0.0,0.0,0.0009987354278564453,0.0010204315185546875,0.0
100,0.0,0.0,0.0010058879852294922,0.000982046127319336,0.0,0.0,0.0009944438934326172,0.0009999275207519531,0.0009944438934326172,0.00098419189453125
105,0.0,0.001001596450805664,0.0,0.0,0.001001119613647461,0.0010013580322265625,0.0010128021240234375,0.0010094642639160156,0.0009856224060058594,0.0009996891021728516
110,0.0010001659393310547,0.001001119613647461,0.0009999275207519531,0.0,0.0009982585906982422,0.0,0.00099945068359375,0.0010027885437011719,0.0,0.0010118484497070312
115,0.0010142326354980469,0.000985860824584961,0.0009996891021728516,0.001016378402709961,0.0009980201721191406,0.0010170936584472656,0.0010275840759277344,0.0010290145874023438,0.0010023117065429688,0.0009970664978027344
120,0.0010001659393310547,0.0009968280792236328,0.0010001659393310547,0.0009982585906982422,0.0009984970092773438,0.0010216236114501953,0.0010063648223876953,0.0010101795196533203,0.0009982585906982422,0.0009922981262207031
125,0.0009937286376953125,0.0010025501251220703,0.0010004043579101562,0.0010013580322265625,0.0009984970092773438,0.0019986629486083984,0.0010001659393310547,0.0009953975677490234,0.000985860824584961,0.001001596450805664
130,0.0010120868682861328,0.0019807815551757812,0.00099945068359375,0.0013780593872070312,0.0020029544830322266,0.0010111331939697266,0.0009887218475341797,0.002000093460083008,0.0010004043579101562,0.0010111331939697266
135,0.0010080337524414062,0.0020093917846679688,0.0010004043579101562,0.0019974708557128906,0.0009844303131103516,0.0020117759704589844,0.0010030269622802734,0.0019996166229248047,0.0010004043579101562,0.0010159015655517578
140,0.0010018348693847656,0.0020127296447753906,0.0009915828704833984,0.0009887218475341797,0.0020074844360351562,0.0009870529174804688,0.0009996891021728516,0.0009937286376953125,0.0020036697387695312,0.0010139942169189453
145,0.001985311508178711,0.0009982585906982422,0.0025441646575927734,0.0020127296447753906,0.0009996891021728516,0.0009961128234863281,0.002004384994506836,0.0009906291961669922,0.0009989738464355469,0.0009930133819580078
150,0.0019910335540771484,0.0019865036010742188,0.0009891986846923828,0.0019996166229248047,0.002000093460083008,0.0009925365447998047,0.0020020008087158203,0.0019943714141845703,0.0010004043579101562,0.0020134449005126953
155,0.002000570297241211,0.0010120868682861328,0.001003265380859375,0.002003192901611328,0.0019958019256591797,0.0020051002502441406,0.0020112991333007812,0.0019943714141845703,0.001998424530029297,0.0019998550415039062
160,0.002051115036010742,0.0020041465759277344,0.0018923282623291016,0.0019066333770751953,0.0029001235961914062,0.002003192901611328,0.0020034313201904297,0.001992464065551758,0.0019953250885009766,0.0009951591491699219
165,0.0019986629486083984,0.0019989013671875,0.0029981136322021484,0.0020017623901367188,0.0021028518676757812,0.0019903182983398438,0.0020067691802978516,0.0021245479583740234,0.001999378204345703,0.001999378204345703
170,0.0030236244201660156,0.001893758773803711,0.0019979476928710938,0.0020766258239746094,0.0019981861114501953,0.0030014514923095703,0.0019979476928710938,0.003002166748046875,0.002034425735473633,0.001983165740966797
175,0.001993894577026367,0.0019423961639404297,0.0029387474060058594,0.003000974655151367,0.0019986629486083984,0.0018885135650634766,0.0029976367950439453,0.002041339874267578,0.001995086669921875,0.002000093460083008
180,0.003022909164428711,0.0031082630157470703,0.003003358840942383,0.002008676528930664,0.0019965171813964844,0.0020647048950195312,0.0028870105743408203,0.002998828887939453,0.002567291259765625,0.001989126205444336
185,0.0019981861114501953,0.0018949508666992188,0.0029015541076660156,0.0019969940185546875,0.0034189224243164062,0.0029997825622558594,0.0029976367950439453,0.002104043960571289,0.0018987655639648438,0.0019941329956054688
190,0.0030059814453125,0.0030007362365722656,0.0020728111267089844,0.0020983219146728516,0.0030014514923095703,0.002995729446411133,0.003057718276977539,0.002996206283569336,0.0021085739135742188,0.002007007598876953
195,0.0031006336212158203,0.0019893646240234375,0.003000020980834961,0.0021038055419921875,0.0019998550415039062,0.003000497817993164,0.0029952526092529297,0.003108501434326172,0.0031049251556396484,0.0020444393157958984
200,0.0029997825622558594,0.003998517990112305,0.0029642581939697266,0.003107786178588867,0.0020399093627929688,0.003009796142578125,0.0030803680419921875,0.003103494644165039,0.003000020980834961,0.002986907958984375
205,0.002505779266357422,0.003011941909790039,0.0030090808868408203,0.0029785633087158203,0.002992391586303711,0.004000186920166016,0.003000974655151367,0.002999544143676758,0.0030012130737304688,0.003021717071533203
210,0.002920389175415039,0.002998828887939453,0.003000497817993164,0.002986431121826172,0.0029981136322021484,0.0030100345611572266,0.0028944015502929688,0.0029985904693603516,0.0030493736267089844,0.0029990673065185547
215,0.0028960704803466797,0.0031082630157470703,0.003002643585205078,0.0031042098999023438,0.0030045509338378906,0.003995656967163086,0.002897500991821289,0.0030090808868408203,0.0030002593994140625,0.002895355224609375
220,0.003101348876953125,0.003998517990112305,0.002996206283569336,0.003023386001586914,0.0039997100830078125,0.002994060516357422,0.0039942264556884766,0.0034055709838867188,0.004059314727783203,0.0030670166015625
225,0.003999471664428711,0.003999471664428711,0.0030002593994140625,0.0029942989349365234,0.002988576889038086,0.003952980041503906,0.0029625892639160156,0.0029954910278320312,0.0031015872955322266,0.003999948501586914
230,0.004006624221801758,0.0028960704803466797,0.003999948501586914,0.003000974655151367,0.004096508026123047,0.003907442092895508,0.002998828887939453,0.0035047531127929688,0.003934383392333984,0.00400233268737793
235,0.003972530364990234,0.0039997100830078125,0.0039958953857421875,0.003997802734375,0.003999233245849609,0.004002571105957031,0.002901792526245117,0.0035173892974853516,0.002985715866088867,0.0039005279541015625
240,0.004000186920166016,0.004012346267700195,0.003999233245849609,0.003999948501586914,0.004034757614135742,0.004002571105957031,0.003900766372680664,0.003011941909790039,0.0039997100830078125,0.003999233245849609
245,0.003998517990112305,0.003999471664428711,0.004027366638183594,0.004000186920166016,0.004002571105957031,0.003998517990112305,0.004003047943115234,0.0039997100830078125,0.0040013790130615234,0.004003763198852539
250,0.0039975643157958984,0.003999948501586914,0.003999948501586914,0.005105495452880859,0.004000425338745117,0.0049991607666015625,0.003998994827270508,0.004031181335449219,0.004970073699951172,0.0038819313049316406
255,0.003995656967163086,0.003999948501586914,0.004040718078613281,0.004110813140869141,0.004014253616333008,0.005073070526123047,0.005006551742553711,0.0039997100830078125,0.004999399185180664,0.003998994827270508
260,0.0039997100830078125,0.00399470329284668,0.005013704299926758,0.004999637603759766,0.004999637603759766,0.003994464874267578,0.004001140594482422,0.004994869232177734,0.003991127014160156,0.003998756408691406
265,0.004950761795043945,0.005109548568725586,0.0049440860748291016,0.0050029754638671875,0.004000186920166016,0.004999637603759766,0.004999399185180664,0.005006074905395508,0.00499272346496582,0.0041844844818115234
270,0.004014730453491211,0.004970073699951172,0.004996299743652344,0.004998683929443359,0.004999399185180664,0.0045413970947265625,0.005000114440917969,0.005000591278076172,0.004998207092285156,0.004996538162231445
275,0.004992961883544922,0.004986286163330078,0.005514621734619141,0.004999399185180664,0.0049970149993896484,0.004988193511962891,0.005009174346923828,0.0049839019775390625,0.004999637603759766,0.00499415397644043
280,0.005063056945800781,0.0046367645263671875,0.006031513214111328,0.004999637603759766,0.00490260124206543,0.0051114559173583984,0.0050051212310791016,0.004999399185180664,0.005522012710571289,0.005122661590576172
285,0.005003452301025391,0.006003141403198242,0.004999876022338867,0.00599980354309082,0.005990505218505859,0.0059850215911865234,0.006008148193359375,0.004990577697753906,0.00500035285949707,0.004999399185180664
